x1,y1,z1,x2,y2,z2,x_slice,y_slice,depth_slice,z,c_z
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.937982,1.495524,-995.422477,0,1548.521015
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.837108,1.733264,-995.422477,-10.099352,1548.521015
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.736233,1.971004,-995.422477,-20.198705,1548.521015
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.635359,2.208745,-995.675118,-30.298057,1535.924853
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.534485,2.446485,-995.675118,-40.397410,1535.924853
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.433610,2.684225,-995.675118,-50.496762,1535.924853
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.332736,2.921966,-995.675118,-60.596114,1535.924853
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.231861,3.159706,-996.537473,-70.695467,1535.924853
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.130987,3.397446,-996.537473,-80.794819,1526.012773
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,7.030112,3.635187,-996.537473,-90.894172,1526.012773
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.929238,3.872927,-997.075122,-100.993524,1526.012773
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.828364,4.110667,-998.373950,-111.092876,1526.012773
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.727489,4.348408,-998.373950,-121.192229,1526.012773
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.626615,4.586148,-998.373950,-131.291581,1518.298236
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.525740,4.823888,-998.373950,-141.390933,1518.298236
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.424866,5.061628,-996.925813,-151.490286,1518.298236
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.323992,5.299369,-996.925813,-161.589638,1518.298236
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.223117,5.537109,-996.925813,-171.688991,1518.298236
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.122243,5.774849,-996.925813,-181.788343,1512.382893
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,6.021368,6.012590,-996.734624,-191.887695,1512.382893
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.920494,6.250330,-998.597390,-201.987048,1512.382893
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.819620,6.488070,-998.597390,-212.086400,1512.382893
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.718745,6.725811,-998.597390,-222.185753,1512.382893
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.617871,6.963551,-998.597390,-232.285105,1507.940606
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.516996,7.201291,-998.828461,-242.384457,1507.940606
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.416122,7.439032,-998.828461,-252.483810,1507.940606
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.315247,7.676772,-998.828461,-262.583162,1507.940606
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.214373,7.914512,-998.828461,-272.682515,1507.940606
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.113499,8.152253,-997.335735,-282.781867,1504.704355
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,5.012624,8.389993,-997.335735,-292.881219,1504.704355
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.911750,8.627733,-998.953828,-302.980572,1504.704355
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.810875,8.865474,-998.953828,-313.079924,1504.704355
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.710001,9.103214,-999.210055,-323.179276,1504.704355
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.609127,9.340954,-999.210055,-333.278629,1502.455523
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.508252,9.578695,-999.210055,-343.377981,1502.455523
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.407378,9.816435,-999.210055,-353.477334,1502.455523
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.306503,10.054175,-999.835887,-363.576686,1502.455523
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.205629,10.291916,-999.835887,-373.676038,1502.455523
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.104755,10.529656,-999.835887,-383.775391,1501.015122
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,4.003880,10.767396,-999.835887,-393.874743,1501.015122
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.903006,11.005136,-999.115270,-403.974096,1501.015122
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.802131,11.242877,-999.115270,-414.073448,1501.015122
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.701257,11.480617,-999.115270,-424.172800,1501.015122
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.600383,11.718357,-999.115270,-434.272153,1500.236607
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.499508,11.956098,-999.115270,-444.371505,1500.236607
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.398634,12.193838,-999.063581,-454.470858,1500.236607
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.297759,12.431578,-999.063581,-464.570210,1500.236607
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.196885,12.669319,-999.063581,-474.669562,1500.236607
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,3.096010,12.907059,-999.063581,-484.768915,1500
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.995136,13.144799,-998.107077,-494.868267,1500
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.894262,13.382540,-998.107077,-504.967620,1500
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.793387,13.620280,-998.107077,-515.066972,1500
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.692513,13.858020,-998.107077,-525.166324,1500.207068
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.591638,14.095761,-996.886107,-535.265677,1500.207068
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.490764,14.333501,-996.886107,-545.365029,1500.207068
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.389890,14.571241,-996.886107,-555.464381,1500.207068
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.289015,14.808982,-996.886107,-565.563734,1500.207068
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.188141,15.046722,-996.681720,-575.663086,1500.777388
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,2.087266,15.284462,-996.681720,-585.762439,1500.777388
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.986392,15.522203,-998.218180,-595.861791,1500.777388
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.885518,15.759943,-998.218180,-605.961143,1500.777388
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.784643,15.997683,-998.218180,-616.060496,1500.777388
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.683769,16.235424,-996.270405,-626.159848,1501.645113
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.582894,16.473164,-996.270405,-636.259201,1501.645113
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.482020,16.710904,-996.270405,-646.358553,1501.645113
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.381145,16.948644,-996.270405,-656.457905,1501.645113
